country,birth_rt,fertility_rt,infant_mortality_rt,life_expectancy,physicians_per_thousand,lat,long,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,continent,covid_cases,covid_deaths,average_population
Sudan,32.18,4.41,42.1,65.1,0.26,12.862807,30.217636,18.9023,76.8,16.9,8.0,16.53,Africa,17810.0,1249.0,43553714
Suriname,18.54,2.42,16.9,71.6,1.21,3.919305,-56.027783,3.9853,108.8,12.6,19.5,7.33,South America,5312.0,117.0,585120
Sweden,11.4,1.76,2.2,82.5,3.98,60.128161,18.643501,530.8329,126.6,67.0,27.9,6.48,Europe,243129.0,6681.0,10205698
Switzerland,10.0,1.52,3.7,83.6,4.3,46.818188,8.227512,703.0824,105.2,59.6,10.1,4.58,Europe,317017.0,4236.0,8628155
Syria,23.69,2.81,14.0,71.8,1.22,34.802075,38.996815,40.405,81.7,40.1,14.2,8.37,Asia,0.0,0.0,17377940
Tajikistan,30.76,3.59,30.4,70.9,1.7,38.861034,71.276093,8.1166,100.9,31.3,9.8,11.02,Asia,12155.0,86.0,9475834
Tanzania,36.7,4.89,37.6,65.0,0.01,-6.369028,34.888822,63.1771,94.2,4.0,11.5,1.98,Africa,0.0,0.0,59242640
Thailand,10.34,1.53,7.8,76.9,0.81,15.870032,100.992541,543.65,99.8,49.3,14.9,0.75,Asia,3998.0,60.0,69749678
East Timor,29.42,4.02,39.3,69.3,0.72,-8.874217,125.727539,1.6735,115.3,17.8,25.0,4.55,Asia,0.0,0.0,3500000
Togo,33.11,4.32,47.4,60.8,0.08,8.619543,0.824782,5.46,123.8,14.5,16.9,2.04,Africa,2946.0,64.0,8222729
Tonga,24.3,3.56,13.4,70.8,0.52,-21.178986,-175.198242,0.4504,116.3,6.4,22.3,1.12,Oceana,0.0,0.0,103208
Trinidad and Tobago,12.94,1.73,16.4,73.4,4.17,10.691803,-61.222503,24.1002,106.2,12.0,19.5,2.69,North America,0.0,0.0,1394973
Tunisia,17.56,2.2,14.6,76.5,1.3,33.886917,9.537499,38.7977,115.4,31.7,21.1,16.02,Africa,96769.0,3260.0,11694719
